Name	Set	ImageFile	Rarity	Organization	Type	Value	Cost	STR	DEF	Text
Wazy Hemisphere [Dominion]	1	01-117	SR	Gralsritter	UNIT	6	CP	12	12	・This card counts as having Crossbell Police as its organization.  ・When this card inflicts overkill damage, target one of your opponent's UNIT cards and stun it. [Arts] (4 EP) "Dark Matter" - Target one UNIT card, and it gains -0/-3 this turn. Then you gain 3 Bond points.
Wazy Hemisphere [Testaments]	1	01-118	N	Gralsritter	UNIT	2	CP	2	2	・This card can attack UNIT card with [Secret Maneuvers].  ・This card gains +2/+2 while attacking a UNIT card with [Secret Maneuver].  [Arts] (2 EP)  "Fortuna" - Draw 3 cards and place 2 cards from your hand on top of your deck in any order.
Wazy Hemisphere [Special Support Section]	1	01-119	N	Gralsritter	UNIT	4	CP	7	7	・This card counts as having Crossbell Police as its organization.  ・Tap one of your untapped BASE cards: Target one of your UNIT cards, and it gains [Secret Maneuvers] during this turn. [Arts] (3 EP) "A-Reflex" - You may redirect one currently played single target Arts and choose another proper target for it.
Tio Plato [Special Support Section]	1	01-120	SEC	Crossbell Police	UNIT	5	CP	8	8	[Dispatch]  ・When you play a UNIT card from your stronghold, it gains +5/+0 this turn. [Arts] (6 EP) "Diamond Dust" - Target one or more UNIT card so that the total amount of CP selected is 6 or less, and tap them.
Renne [Pater Mater]	1	01-121	SEC	Ouroboros	UNIT	7	CP	17	17	・When this card attacks, you may rebuild one of your BASE cards. If you do so, the UNIT card it attacks will lose support during this combat. [Arts] (5 EP) "Death Spiral" - Your opponent chooses one of their UNIT cards and destroys it.
Estelle Bright [Senior Bracer]	1	01-122	PR	Bracer Guild	UNIT	3	CP	4	4	・This card gains +3/+3 while attacking UNIT card with a CP cost of 4 or more.  ・Request - When you play a BASE card, this card gains +1/+1 during this turn. [Arts] (3 EP) "Earth Lance” - Target one attacking UNIT card, and it gains +2/+4 during this combat.
Joshua Bright [Senior Bracer]	1	01-123	PR	Bracer Guild	UNIT	4	CP	7	7	[Secret Maneuvers] ・[TAP], Pay 2 Bond points: Target one UNIT card with a CP cost of 3 or less and tap it. Then, if it has [Secret Maneuvers], stun it. [Arts] (2 EP) "Shadow Spear" - Target one defending UNIT card, and it gains -0/-2 during this combat.
Renne [Girl]	1	01-124	PR	Ouroboros	UNIT	1	CP	2	1	[Secret Maneuvers] (・This card can only attack players and UNIT cards with [Secret Maneuvers], and can only be attacked by UNIT cards with [Secret Maneuvers].)  ・[TAP]: Return this card to your hand. [Arts] (1 EP) "Soul Blur" - You may tap one of your untapped UNIT cards. If you do, your opponent loses 4 Bond points.
ARCUS [Tactical Orbment]	2	02-001	R	None	ITEM	0	CP	None	None	・[TAP]: Target two of your UNIT cards and they can Scrum Attack or Scrum Support this turn as if they had the same organization.
<<Class VII>>, Assemble 	2	02-002	SR	None	EVENT	3	EP	None	None	Untap all the Thors Military Academy UNITs you Scrammed during this turn, and they cannot overkill this turn. 
Alan Richard [Successor of the Divine Blade]	2	02-003	SR	Kingdom of Liberl	UNIT	5	CP	9	9	[Martial Arts] ・If this card can attack, you must attack with it.  ・At the beginning of the combat phase, you become the initiative player. [Arts] (5 EP) "Napalm Breath" -  Your opponent loses 8 Bond points
Alan Richard [Colonel]	2	02-004	N	Kingdom of Liberl	UNIT	3	CP	5	4	[Martial Arts] (・This card gains +1/+1 during combat with UNIT cards without [Martial Arts].)
Second Lieutenant Alan	2	02-005	N	Erebonian Empire	UNIT	1	CP	2	1	When this card Scrum Attacks, draw one card and discard one card from your hand.
Alisa Reinford	2	02-006	N	Thors Military Academy	UNIT	2	CP	2	2	・[TAP]: Your opponent loses 3 Bond points. [Arts] (2 EP) "Thelas" - Target one UNIT card in your trash, and add it to your hand.
Alicia II [26th Queen]	2	02-007	R	Kingdom of Liberl	UNIT	3	CP	3	3	・If there is another non-stunned Kingdom of Liberl UNIT card on your field, this card cannot be attacked.  ・Your other Kingdom of Liberl UNIT cards gain +2/+2.
Arseille	2	02-008	R	None	ITEM	2	CP	None	None	・Your UNIT cards gain "Loyalty - If "Alicia II" is on your field, this card gains +2/+2." ・[TAP]: Target one of your UNIT cards and return it to your hand.
Altina Orion [Claiomh Solais]	2	02-009	SR	None	UNIT	6	CP	12	12	[Attribution] (・When your other UNIT card attacks for the first time this turn, this card gains the organization they have this turn.) ・Discard one ITEM card from your hand: Target one UNIT card with a CP cost of 3 or less and stun it.
Albert Russell	2	02-010	R	Kingdom of Liberl	UNIT	1	CP	0	2	・[TRIGGER] Search your deck for one ITEM card, reveal it, and add it to your hand. Then shuffle the deck.
Alfin Reise Arnor [Princess]	2	02-011	R	Erebonian Empire	UNIT	1	CP	0	1	・When this card Scrum Attacks, return it to your hand. If you do, search your deck for one Erebonian Empire card, reveal it, and add it to your hand. Then, shuffle your deck. [Arts] (1 EP) "Firebolt" - Target one UNIT card with a CP cost of 1 or less and stun it.
Foreign Exchange [Link]	2	02-012	R	None	BASE	2	LV	None	None	・When you play this, choose two organizations on your field. ・Your organizations selected in this craft will be linked. ・When your Erebonian Empire cards perform a Scrum Attack, you may draw one card.
Irina Reinford [Chairman]	2	02-013	SR	Erebonian Empire	UNIT	6	CP	11	12	・Discard one Erebonian Empire card from your hand: Target one of your UNIT cards, and it gains +1/+1 this turn.
Yin [Legendary Assassin]	2	02-014	R	None	UNIT	2	CP	2	2	[Secret Maneuvers] [Attribution] ・When this card attacks a player, target one of your opponent's stunned UNIT cards and destroy it. If you do, this card cannot overkill this turn.
Vulcan	2	02-015	N	Imperial Liberation Front	UNIT	3	CP	5	5	[Attribution] [Dispatch]  ・Destroy one of your ITEM cards: Target one UNIT card whose CP cost is less than or equal to the CP cost of the ITEM card destroyed by the cost of this craft, and stun it.
Vulcan [V]	2	02-016	R	Imperial Liberation Front	UNIT	5	CP	11	11	[Reinforcements] [Attribution] [Dispatch]
Vita Clotilda [Azure Abyss]	2	02-017	SR	Ouroboros	UNIT	4	CP	8	6	[Secret Maneuvers] ・Pay 2 Bond points: Target one of your UNIT cards, untap it, and it cannot attack during this turn. This craft can only be played once per turn. [Arts] (4 EP) "Tearal" - You gain 10 Bond points.
Victor S. Arseid [Radiant Blademaster]	2	02-018	SR	Erebonian Empire	UNIT	7	CP	13	13	[Martial Arts] ・Target a UNIT card and destroy it. This craft can only be played during your attack target selection step.
Emma Millstein	2	02-019	N	Thors Military Academy	UNIT	1	CP	1	1	・[TRIGGER] Reveal one card from the top of your deck. You may add all Thors Military Academy cards from among them to your hand. [Arts] (1 EP) "Analyze” - Your opponent reveals their hand.
Emma Millstein [Descendant of the Hexen Clan]	2	02-020	N	Thors Military Academy	UNIT	3	CP	3	4	・When this card attacks, tap the attacked UNIT card. [Arts] (3 EP) "Luminous Ray" - Target one of your UNIT cards, and it gains +2/+0 this turn.
Elliot Craig	2	02-021	N	Thors Military Academy	UNIT	2	CP	5	4	・When this card is stunned, return it to your hand. [Arts] (2 EP) "Aqua Bleed" - Target one UNIT card with a CP cost of 2 or less and tap it.
Erika Russell	2	02-022	N	Kingdom of Liberl	UNIT	2	CP	1	3	・Loyalty - If "Tita Russell" is on your field, this card gains, “・[TAP]: Reveal the top four cards of your deck. Add one ITEM card from among them to your hand, and place the rest on the bottom of your deck in any order."
Elise Schwarzer [St. Astraia Girls' School]	2	02-023	R	Erebonian Empire	UNIT	2	CP	2	1	・[TRIGGER] Draw one card. ・Loyalty - [TRIGGER] If "Rean Schwarzer" is on your field, draw one card.
Mastery of a Secret Technique	2	02-024	SR	None	EVENT	4	EP	None	None	Target one UNIT card. You may tap one of your untapped UNITs with a CP cost of 5 or more. If you do, the targetted UNIT card gains +7/+7 this turn.
Exchanges between Royal Army Officers [Link]	2	02-025	R	None	BASE	2	LV	None	None	・When you play this, choose two organizations on your field. ・Your organizations selected in this craft will be linked. ・Your Kingdom of Liberl UNIT cards gain +1/+0.
Royal Army Special Forces [General]	2	02-026	N	Kingdom of Liberl	UNIT	1	CP	1	1	・[TRIGGER] Choose one card name. ・Loyalty - If you have a Kingdom of Liberl card with the chosen card name from this card's craft and a subname other than [General] on your field, this card gains +2/+1.
Royal Army Soldier Recruitment	2	02-027	R	None	EVENT	1	EP	None	None	Reveal the top 5 cards of your deck. Add one Kingdom of Liberl from among them to your hand, and place the rest on the bottom of your deck in any order.
Conductor [Tactical Orbment]	2	02-028	R	None	ITEM	0	CP	None	None	・Destroy this card: Target one of your UNIT cards, and it gains +1/+1 this turn. Then draw one card.
Olaf Craig [Lieutenant General]	2	02-029	N	Erebonian Empire	UNIT	4	CP	7	6	・When this card Scrum Attacks, target one UNIT card in your trash and add it to your hand. [Arts] (4 EP) "Tearal” - You gain 10 Bond points.
Olivert Reise Arsor [Prince]	2	02-030	R	Erebonian Empire	UNIT	2	CP	3	4	・At the start of the Combat Phase, if there are three or more organizations on your field, your opponent chooses one of their untapped UNIT cards and taps it. [Arts] (3 EP) "Saint" - Target one of your UNIT cards, and it gains +1/+1 this turn.
Olivert Reise Arsor [Prodigal Prince]	2	02-031	N	Erebonian Empire	UNIT	5	CP	8	10	・Your UNIT can scrum attack and scrum support as if they had the same organization. [Arts] (5 EP) "Silver Thorn" - Target one defending UNIT card, and it loses all crafts and gains -3/-3 during this combat.
A Night in a Hot Springs Village	2	02-032	SR	None	BASE	3	LV	None	None	・[TAP], Discard one card from your hand: You gain 2 Bond points. Then, if the card discarded for the cost of this craft is a Thors Military Academy card, draw one card.
Gaius Worzel	2	02-033	N	Thors Military Academy	UNIT	4	CP	8	5	・If this card is stunned during your attack, you will not take stun damage. [Arts] (4 EP) "Recuria" - Untap all your UNIT cards that have not attacked during this turn.
Gaius Worzel [Nomad]	2	02-034	R	Thors Military Academy	UNIT	6	CP	12	10	・When one of your other UNIT cards attack, this card gains +1/+1 this turn. [Arts] (6 EP) "Shining" - Target one defending UNIT card, tap it, and it gains -0/-4 during this combat.
King of Shadow [Ruler of the Land of Shadows]	2	02-035	SR	None	UNIT	4	CP	7	7	[Secret Maneuvers] (・This card can only attack players and UNIT cards with [Secret Maneuvers], and can only be attacked by UNIT cards with [Secret Maneuvers].)  ・[TRIGGER]: Choose one card name and one organization, and this card gains that card name and organization.
Cassius Bright [Brigadier General]	2	02-036	SR	Kingdom of Liberl	UNIT	7	CP	12	12	[Martial Arts] (・This card gains +1/+1 during combat with UNIT cards without [Martial Arts].) ・Loyalty - If "Alicia II" is on your field, this card gains +1/+1 for each card in your hand.
Kanone Amalthea [Captain]	2	02-037	N	Kingdom of Liberl	UNIT	2	CP	3	2	・Loyalty - If “Alan Richard” is on your field, draw one card. [Arts] (2 EP) "Shadow Spear” - Target one defending UNIT card, and it gains -0/-2 during this combat.
Kanone Amalthea [Second-in-Command]	2	02-038	N	Kingdom of Liberl	UNIT	4	CP	6	6	・Loyalty - If “Alan Richard” is on your field, this card gains “・[TAP]: Target one UNIT card with a CP cost 3 or less, and stun it." [Arts] (2 EP) "Shadow Spear” - Target one defending UNIT card, and it gains -0/-2 during this combat.
Kyle Capua	2	02-039	N	Capua Family	UNIT	1	CP	2	2	[Attribution] (・When your other UNIT card attacks for the first time this turn, this card gains the organization they have this turn.) ・Destroy one of your ITEM cards: Target one UNIT, and tap it.
Kyle Capua [Helmsman]	2	02-040	N	Capua Family	UNIT	3	CP	5	4	[Attribution] [Dispatch] ・When this card stuns a UNIT card during your attack, target one of your opponent's UNIT cards and tap it.
Change of Clothes	2	02-041	SR	None	EVENT	2	EP	None	None	You may discard one card from your hand. If you do so, search your deck for up to two cards with the same card name but different subnames as the card discarded in the cost of this EVENT, reveal them, and add them to your hand. Then shuffle your deck.
Giliath Osborne [Chancellor]	2	02-042	N	Erebonian Empire	UNIT	3	CP	4	4	[Secret Maneuvers] (・This card can only attack players and UNIT cards with [Secret Maneuvers], and can only be attacked by UNIT cards with [Secret Maneuvers].)  ・[TRIGGER]: Target one EVENT card in your trash, and add it to your hand.
Giliath Osborne [Blood and Iron Chancellor]	2	02-043	R	Erebonian Empire	UNIT	5	CP	9	9	[Secret Maneuvers] (・This card can only attack players and UNIT cards with [Secret Maneuvers], and can only be attacked by UNIT cards with [Secret Maneuvers].)  ・Your opponent always reveals their hand. ・[TAP]: Your opponent discards one card from their hand.
Grancel Castle	2	02-044	R	None	BASE	3	LV	None	None	・"Alicia II" and "Klaudia von Auslese" are considered on your field. ・Your Kingdom of Liberl UNIT cards gain +0/+1.
Claire Rieveldt [Major]	2	02-045	N	Erebonian Empire	UNIT	3	CP	4	2	・Loyalty - If "Giliath Osborne" is on your field, this card gains, "・[TAP]: Target one stunned UNIT card, and destroy it." [Arts] (3 EP) "Golden Sphere" - Target one UNIT card, and it gains -2/-2 this turn.
Claire Rieveldt [Icy Maiden]	2	02-046	R	Erebonian Empire	UNIT	6	CP	12	11	・When this card attacks by itself and stuns a UNIT card, it destroys the stunned target. [Arts] (5 EP) "Athelas" - Target one UNIT card in the trash with a CP cost less than or equal to the number of cards in your stronghold, and play it onto the field in a stunned state.
Crow Armbrust	2	02-047	SR	Thors Military Academy	UNIT	6	CP	12	11	・[TAP]: Target one UNIT card whose CP cost is less than or equal to the number of Thors Military Academy in your trash, and stun it. [Arts] (6 EP) "Calvary Edge" - Target one stunned UNIT card, and destroy it. If you do, you gain Bond points equal to its CP cost.
Crow Armbrust [C]	2	02-048	SR	Imperial Liberation Front	UNIT	4	CP	7	6	[Attribution] (・When your other UNIT card attacks for the first time this turn, this card gains the organization they have this turn.) ・Your opponent cannot play arts. [Arts] (4 EP) "Chrono Break" - Target one craft in play and negate it.
Klaudia von Auslese	2	02-049	R	Kingdom of Liberl	UNIT	5	CP	9	8	・When this card deals overkill damage, draw one card. [Arts] (5 EP) "La Teara" - Target one UNIT card and restore it.
Castle Phantasmagoria	2	02-050	SR	None	BASE	1	LV	None	None	・[TAP]: Choose one card name, and a UNIT card with that card name is considered on your field this turn.
Joint Mission [Link]	2	02-051	R	None	BASE	2	LV	None	None	・When you play this, choose two organizations on your field. ・Your organizations selected in this craft will linked. ・Your Thors Military Academy UNIT cards gain +1/+0 during Scrum Attacks.
Gospel [Ancient Relic]	2	02-052	SR	None	ITEM	1	CP	None	None	・[TRIGGER] Target one card in the field, and it loses all crafts until this card leaves the field.
Top-Notch Photography	2	02-053	SR	None	EVENT	3	EP	None	None	You may discard a UNIT card with <<Loyalty>> from your hand. If you do so, search your deck for a UNIT card, reveal it, and add it to your hand. Then, shuffle the deck.
Sara Valestein [Former A-class bracer]	2	02-054	SR	Thors Military Academy	UNIT	7	CP	15	15	・At the start of the Recovery Phase, stun all of your opponent's UNIT cards.
Salt Pile [Ancient Relic]	2	02-055	SR	None	ITEM	2	CP	None	None	・Destroy this card: Target one stunned UNIT and remove it from the game.
Sigmund Orlando	2	02-056	N	Red Constellation	UNIT	5	CP	9	9	[Attribution] (・When your other UNIT card attacks for the first time this turn, this card gains the organization they have this turn.) ・If your Bond point total is 20 points or less, this card gains +5/+0.
Sigmund Orlando [Scarlet Ogre]	2	02-057	SR	Red Constellation	UNIT	7	CP	17	17	・When this card attacks a tapped UNIT card, that UNIT loses support and cannot regain it during this combat. [Arts] (7 EP) "Judgment Bolt" - Target up to two of your opponent's UNIT cards and tap them.
Shirley Orlando	2	02-058	N	Red Constellation	UNIT	2	CP	2	2	[Attribution] ・When this card attacks or is attacked, you may pay 4 Bond points. If you do, it gains +4/+0 during this combat.
Shirley Orlando [Captain]	2	02-059	R	Red Constellation	UNIT	4	CP	6	5	[Attribution] (・When your other UNIT card attacks for the first time this turn, this card gains the organization they have this turn.) ・[TAP]: Your opponent loses 5 Bond points.
Sharon Kreuger	2	02-060	SR	Ouroboros	UNIT	1	CP	1	1	・This card comes into play tapped. ・[TAP], Return this card to your hand: Search your deck for one ITEM or EVENT card, reveal it, and add it to your hand. Then shuffle your deck. [Arts] (1 EP) "Soul Blur" - You may tap one of your untapped UNIT cards. If you do, your opponent loses 4 Bond points.
Josette Cahua [Red One]	2	02-061	N	Capua Family	UNIT	3	CP	4	4	[Attribution] [Dispatch]  ・If there are one or more ITEM cards in your trash, this card gains +2/+2. [Arts] (3 EP) "Petrify Breath" - Target one defending UNIT card, tap it, and it gains +0/+3 during this combat.
Scarlett	2	02-062	N	Imperial Liberation Front	UNIT	3	CP	5	2	[Attribution] (・When your other UNIT card attacks for the first time this turn, this card gains the organization they have this turn.) [Arts] (7 EP) "Grim Butterfly" - Your opponent's UNIT cards cannot untap this turn.
Zechs Vander [One-Eyed]	2	02-063	N	Erebonian Empire	UNIT	3	CP	4	4	[Martial Arts] (・This card gains +1/+1 during combat with UNIT cards without [Martial Arts].) ・[TAP]: Target one stunned Erebonian Empire card, and recover it.
Xeno	2	02-064	N	Zephyr	UNIT	1	CP	2	2	[Secret Maneuvers] [Attribution] ・Reduce the CP cost of your ITEM cards by 1.
Dive!!	2	02-065	SR	None	EVENT	2	EP	None	None	All UNIT cards lose all but their original organization during this turn.
Davil Crainagh [Baron]	2	02-066	N	Erebonian Empire	UNIT	2	CP	2	3	・When this card Scrum Attacks, target one BASE card. You may rebuild it.
Dan Russell	2	02-067	N	Kingdom of Liberl	UNIT	2	CP	2	2	・Loyalty - [TRIGGER] If "Tita Russell" is on your field, target one ITEM card in your trash and add it to your hand.
Zeiss Region	2	02-068	R	None	BASE	2	LV	None	None	・Loyalty - [TAP]: Reveal the top card of your deck. If a UNIT card with "Russell" in its card name is on your field, reveal the top two cards instead. You may add all ITEM cards from among them to your hand.
Tita Russell	2	02-069	N	Kingdom of Liberl	UNIT	2	CP	2	3	・Reduce the CP play cost of this card by 1 for each of your ITEM cards. ・[TRIGGER] You gain 5 Bond points. [Arts] (2 EP) "Fortuna" - Draw three cards, then place two cards from your hand on top of your deck in any order.
Tita Russell [Gifted Scholar]	2	02-070	R	Kingdom of Liberl	UNIT	1	CP	4	8	・If you have an ITEM card in play, your Kingdom of Liberl cards gain support. [Arts] (4 EP) "Dark Matter" - Target one UNIT card, and it gains -0/-3 this turn. Then you gain 3 Bond points.
Tita Russell [Apprentice Engineer]	2	02-071	SR	Kingdom of Liberl	UNIT	6	CP	11	12	・[TAP], Discard one ITEM card from your hand: Stun one target UNIT card whose CP cost is less than or equal to the CP cost of the ITEM card discarded in the cost of this craft. [Arts] (6 EP) "Gold High Low" - Your opponent's UNIT cards gain -2/-2 this turn. Then you gain 2 Bond points.
Imperial Army Regulars [General]	2	02-072	N	Erebonian Empire	UNIT	1	CP	1	1	(You can add any number of UNITs with general subnames into your deck.) ・Loyalty - If "Giliath Osborn" is on your field, this card gains +1/+0. ・This card gains +1/+0 during a Scrum Attack.
Ceasefire Agreement	2	02-073	R	None	EVENT	4	EP	None	None	During this turn, your UNIT cards gain "・[TAP]: Your opponent chooses one of their untapped UNIT cards, and taps it."
Children of Blood and Iron	2	02-074	SR	None	EVENT	3	EP	None	None	Loyalty - Search your deck for an Erebonia Empire card, reveal it, and add it to your hand. Then shuffle your deck. After that, if "Giliath Osborne" is on your field, you may put 1 UNIT card with a CP cost of 2 or less from your hand onto the field.
Railway Military Police	2	02-075	R	None	BASE	2	LV	None	None	・[TAP]: Target one UNIT card during a Scrum Attack, and it gains +1/+1 during this combat.
Duvalie [The Swift]	2	02-076	SR	Ouroboros	UNIT	5	CP	8	8	[Attribution] [Martial arts] ・Discard 1 Ouroborus card from your hand: Untap this card. This craft can only be played once per turn.
An Elegant Afternoon of a Brother and Sister	2	02-077	SR	None	EVENT	3	EP	None	None	Target one stunned UNIT card. You may discard one Erebonian Empire card from your hand or tap one of your untapped UNIT cards with <<Loyalty>>. If you do, recover it.
Toval Randonneur	2	02-078	SR	Bracer Guild	UNIT	2	CP	3	2	[Secret Maneuvers] [Attribution] [Dispatch] ・[TAP]: You may return one face-down untapped card from your stronghold to your hand. If you do, you may place one card from your hand face down and ready in your stronghold. [Arts] (2 EP) "Press" - Target one UNIT card, and it gains support during this turn.
Motorcycle	2	02-079	R	None	ITEM	1	CP	None	None	・[TRIGGER]: Target one UNIT card, and it gains +2/+2 until this card leaves the field. ・Destroy this card: Return the UNIT card targeted by this craft to your hand.
Thors Military Academy <<Class VII>>, Activate	2	02-080	SR	None	BASE	1	LV	None	None	・[TAP], Pay 1 CP, and discard one Thors Military Academy card or a UNIT card with [Attribution] from your hand: Search your deck for one Thors Military Academy card, reveal it, and add it to your hand. Then shuffle your deck.
Don Capua	2	02-081	N	Capua Family	UNIT	2	CP	3	2	[Attribution] (・When your other UNIT card attacks for the first time this turn, this card gains the organization they have this turn.) ・When you play an ITEM card, your opponent loses 3 Bond points.
Dorothy Hyatt [Liberl News]	2	02-082	N	Kingdom of Liberl	UNIT	1	CP	1	1	・[TRIGGER] Reveal one card from the top of your deck. You may add all cards other than UNIT cards from among them to your hand.
Nial Burns [Liberl News]	2	02-083	N	Kingdom of Liberl	UNIT	1	CP	1	1	・[TRIGGER] Reveal one card from the top of your deck. You may add all UNIT cards from among them to your hand.
Counteroffensive Operation	2	02-084	SR	None	EVENT	3	EP	None	None	Target one UNIT card, and if you have 3 or more stunned UNIT cards, untap it.
Pantagruel	2	02-085	R	None	ITEM	2	CP	None	None	・Your Erebonian Empire cards gain +2/+2 during Scrum Attacks.
The Vermillion Capital	2	02-086	R	None	BASE	3	LV	None	None	・"Giliath Osborne" is considered on your field. ・Your Erebonian Empire cards gain +1/+1 during Scrum Attacks.
Fie Claussell	2	02-087	N	Thors Military Academy	UNIT	2	CP	3	2	・Your Thors Military Academy cards gain +2/+2 during Scrum Attacks. [Arts] (2 EP) "Chrono Drive" - Target one UNIT card with a CP cost of 2 or less, and untap it.
Fie Claussell [Sylphid]	2	02-088	N	Thors Military Academy	UNIT	4	CP	8	6	・Your UNIT cards gain +2/+2 during a Scrum Attack. [Arts] (4 EP) "Chrono Break" - Target one craft in play and negate it.
Machias Regnitz	2	02-089	N	Thors Military Academy	UNIT	2	CP	2	3	・If this card Scrum Attacks, the opponent must select this card to defend against. [Arts] (2 EP) "Needle Shoot" - Target one UNIT card in combat, and it gains +1/+2 during this combat.
Maximillian Cid [Major]	2	02-090	N	Kingdom of Liberl	UNIT	3	CP	4	4	[Martial Arts] (・This card gains +1/+1 during combat with UNIT cards without [Martial Arts].) ・Loyalty - If "Alicia II" is on your field, this card gains [Hate]. [Arts] (3 EP) "Flare Arrow" - Target one UNIT card with a CP cost of 2 or less, and stun it.
McBurn [Almighty Conflagration]	2	02-091	SR	Ouroboros	UNIT	8	CP	18	18	・[TRIGGER] You may discard 1 Ouroborus card from your hand. If you don't, place this on the bottom of your deck. ・At the beginning of the Combat Phase, all of your opponent's UNIT cards are tapped. [Arts] (8 EP) "Thousand Nova" - Stun all UNIT cards with a CP cost of 5 or less.
Hexen Village	2	02-092	SR	None	BASE	3	LV	None	None	・[TAP]: Target one of your UNIT cards, and return it to your hand. If you do so, Plan X. X equals the CP cost of the UNIT card returned by this craft.
Michael Gideon	2	02-093	N	Imperial Liberation Front	UNIT	1	CP	1	2	[Secret Maneuvers] [Attribution] ・Destroy one of your ITEM cards: Target one UNIT card, and tap it.
Mueller Vander [Major]	2	02-094	SR	Erebonian Empire	UNIT	4	CP	7	7	[Martial Arts] ・Loyalty - If "Olivier Lenheim" is on your field, this card gains [Hate] and "・When this card attacks by itself and stuns a UNIT card, it destroys the stunned target." [Arts] (3 EP) "Ice Hammer" - Target one UNIT card with a CP cost of 3 or less, and tap it.
Mueller Vander [Imperial Bodyguard]	2	02-095	N	Erebonian Empire	UNIT	2	CP	3	2	[Martial Arts] (・This card gains +1/+1 during combat with UNIT cards without [Martial Arts].) ・This card gains +2/+2 during Scrum Attacks.
Millium Orion	2	02-096	N	Thors Military Academy	UNIT	1	CP	1	1	[Attribution] (・When your other UNIT card attacks for the first time this turn, this card gains the organization they have this turn.) ・This card gains +2/+0 during Scrum Attacks. [Arts] (2 EP) "Needle Shoot" - Target one UNIT card in combat, and it gains +1/+2 during this combat.
General Morgan	2	02-097	R	Kingdom of Liberl	UNIT	6	CP	12	12	・Loyalty - If "Alicia II" is on your field, this card gains, "・Discard one card from your hand: Target one UNIT card, and it gains +1/+1 this turn."
Bobcat [Link]	2	02-098	R	None	BASE	2	LV	None	None	・When you play this, choose two organizations on your field. ・Your organizations selected in this craft will linked. ・Your UNIT cards with [Attribution] have all organizations.
Jusis Albarea	2	02-099	N	Thors Military Academy	UNIT	3	CP	3	3	・This card gains +1/+1 for each card in your stronghold while attacking. [Arts] (3 EP) "Aerial" - Target one defending UNIT card, and it gains +6/+0 during this battle.
Jusis Albarea [Second Son to the Duke of Albarea]	2	02-100	R	Thors Military Academy	UNIT	5	CP	8	8	・If this card is untapped, your UNIT cards with [Attribution] gain +2/+0. [Arts] (5 EP) "Holy Breath” Your UNIT cards gain support during this turn.
Julia Schwarz [Royal Guard]	2	02-101	N	Kingdom of Liberl	UNIT	5	CP	9	9	・Loyalty - If "Klaudia von Auslese" is on your field, this card gains, "・When this card attacks and stuns a UNIT card, it destroys the stunned target." [Arts] (5 EP) "Spark Dyne" - Target one defending UNIT card, it loses support and cannot regain it during this combat. Then it gains -6/-0 this turn.
Julia Schwarz [Captain of the Royal Guard]	2	02-102	N	Kingdom of Liberl	UNIT	3	CP	6	6	[Reinforcements] (・If an existing UNIT card with the same organization as this card is not on your field, this card cannot be played as a UNIT card.) ・Loyalty - If "Klaudia von Auslese" is on your field, this card gains, [Martial Arts]. [Arts] (3 EP) "Innocent Ark" - Target one of your UNIT cards, and it negate any effects applied to it during this turn.
Laura S. Arseid	2	02-103	N	Thors Military Academy	UNIT	3	CP	5	3	[Martial Arts] (・This card gains +1/+1 during combat with UNIT cards without [Martial Arts].) [Arts] (4 EP) "La Forte” - Target one attacking UNIT card, and it gains +5/+0 during this combat.
Laura S. Arseid [Disciple]	2	02-104	N	Thors Military Academy	UNIT	5	CP	9	8	[Martial Arts] ・When this card stuns a UNIT card without [Martial Arts], target one UNIT card whose CP cost is equal to the opponent's CP cost, and stun it. [Arts] (4 EP) "La Forte” - Target one attacking UNIT card, and it gains +5/+0 during this combat.
Dr. Russell's Workshop	2	02-105	R	None	BASE	1	LV	None	None	・Loyalty - When you play an ITEM card, draw one card. After that, if there is no UNIT card with "Russell" in its card name on your field, discard one card from your hand.
Lunch Time with Two Cats	2	02-106	SR	None	EVENT	3	EP	None	None	Recover one stunned Thors Military Academy card.
Rixia Mao	2	02-107	SR	None	UNIT	6	CP	12	11	[Secret Maneuvers] [Attribution] ・Loyalty - When this card attacks, if "Lloyd Bannings" is on your field, target one of your opponent's UNIT cards with a CP cost of 4 or less, and destroy it. [Arts] (6 EP) "Saint Force" - Target one of your UNIT cards, and it negates any effects applied to it during this turn. Then it gains +2/+2 this turn.
Rean Schwarzer	2	02-108	N	Thors Military Academy	UNIT	3	CP	5	5	[Martial Arts] (・This card gains +1/+1 during combat with UNIT cards without [Martial Arts].) ・[TRIGGER] You may reveal one Thors Military Academy card in your hand. If you don't, place this card on the bottom of your deck. [Arts] (1 EP) "Firebolt" - Target one UNIT card with a CP cost of 1 or less, stun it.
Rean Schwarzer [Focused on the Future]	2	02-109	SR	Thors Military Academy	UNIT	5	CP	9	9	[Reinforcements] [Martial Arts] ・Pay 4 Bond points: Target one EVENT card in your trash, and add it to your hand. [Arts] (5 EP) "Warrior Gain" - Your UNIT cards negate any effects applied to them during this turn.
Rufus Albarea [Chief of Staff of the Noble Alliance]	2	02-110	SR	Erebonian Empire	UNIT	5	CP	8	8	・Discard one Erebonian Empire card from your hand. Untap this card. This craft can only be played once per turn. [Arts] (8 EP) "Claiomh Solarion" - Stun all UNIT cards.
Rutger Claussell	2	02-111	R	Zephyr	UNIT	5	CP	9	9	[Attribution] (・When your other UNIT card attacks for the first time this turn, this card gains the organization they have this turn.) ・When this card stuns a UNIT card, your opponent loses Bond points equal to its CP cost.
